sheet,at-type,NAu-2-fe
T,st,7.55
T,fet,0.29
T,at,0.16
O,mgo,0.04
O,feo,3.3499999999999996
O,fe2,0.23000000000000034
O,ao,0.38000000000000006
I,Na,0.0
I,Mg,0.0
I,K,0.0
I,Cl,0.0
I,Ca,1.0
C,tot,-0.72
C,T,-0.45
C,O,-0.27
