UC,st,at,fet,ao,feo,fe2,mgo,cao,lio,mgh,cah,C_Td,C_Oct,Comments
D101,4,0,0,4,0,0,0,0,0,0,0,0,0,Kaolinite UC neutral
D102,3,1,0,4,0,0,0,0,0,0,0,-1,0,Kaolinite UC Td Al
D103,4,0,0,3,0,0,1,0,0,0,0,0,-1,Kaolinite UC Oct Mg
D104,,,,,,,,,,,,,,Reserved number for Kaolinite
D105,,,,,,,,,,,,,,Reserved number for Kaolinite
D106,,,,,,,,,,,,,,Reserved number for Kaolinite
D107,,,,,,,,,,,,,,Reserved number for Kaolinite
D108,,,,,,,,,,,,,,Reserved number for Kaolinite
D109,,,,,,,,,,,,,,Reserved number for Kaolinite
