uc_id,base_id,substitution_sheet,substitutions,substitution_loc,charge,n_substitutions
001,000,T,ST1 -> AT1,t,-1.0,1
002,000,T,ST3 -> AT3,t,-1.0,1
003,000,T,ST8 -> AT8,b,-1.0,1
004,000,T,ST6 -> AT6,b,-1.0,1
005,000,T,ST1 -> FET1,t,-1.0,1
006,000,T,ST3 -> FET3,t,-1.0,1
007,000,T,ST8 -> FET8,b,-1.0,1
008,000,T,ST6 -> FET6,b,-1.0,1
009,000,O,AO3 -> FEO3,other,0.0,1
010,000,O,AO1 -> FEO1,other,0.0,1
011,000,O,AO3 -> FE23,other,-1.0,1
012,000,O,AO1 -> FE21,other,-1.0,1
013,000,O,AO3 -> MGO3,other,-1.0,1
014,000,O,AO1 -> MGO1,other,-1.0,1
015,000,T,ST1 -> AT1;ST3 -> AT3,t,-2.0,2
016,000,T,ST1 -> AT1;ST8 -> AT8,b,-2.0,2
017,000,T,ST1 -> AT1;ST6 -> AT6,b,-2.0,2
018,000,T,ST1 -> AT1;ST3 -> FET3,t,-2.0,2
019,000,T,ST1 -> AT1;ST8 -> FET8,b,-2.0,2
020,000,T,ST1 -> AT1;ST6 -> FET6,b,-2.0,2
021,000,O,AO3 -> FEO3;ST1 -> AT1,other,-1.0,2
022,000,O,AO1 -> FEO1;ST1 -> AT1,other,-1.0,2
023,000,O,AO3 -> FE23;ST1 -> AT1,other,-2.0,2
024,000,O,AO1 -> FE21;ST1 -> AT1,other,-2.0,2
025,000,O,AO3 -> MGO3;ST1 -> AT1,other,-2.0,2
026,000,O,AO1 -> MGO1;ST1 -> AT1,other,-2.0,2
027,000,T,ST3 -> AT3;ST8 -> AT8,b,-2.0,2
028,000,T,ST3 -> AT3;ST6 -> AT6,b,-2.0,2
029,000,T,ST1 -> FET1;ST3 -> AT3,t,-2.0,2
030,000,T,ST3 -> AT3;ST8 -> FET8,b,-2.0,2
031,000,T,ST3 -> AT3;ST6 -> FET6,b,-2.0,2
032,000,O,AO3 -> FEO3;ST3 -> AT3,other,-1.0,2
033,000,O,AO1 -> FEO1;ST3 -> AT3,other,-1.0,2
034,000,O,AO3 -> FE23;ST3 -> AT3,other,-2.0,2
035,000,O,AO1 -> FE21;ST3 -> AT3,other,-2.0,2
036,000,O,AO3 -> MGO3;ST3 -> AT3,other,-2.0,2
037,000,O,AO1 -> MGO1;ST3 -> AT3,other,-2.0,2
038,000,T,ST6 -> AT6;ST8 -> AT8,b,-2.0,2
039,000,T,ST1 -> FET1;ST8 -> AT8,t,-2.0,2
040,000,T,ST3 -> FET3;ST8 -> AT8,t,-2.0,2
041,000,T,ST6 -> FET6;ST8 -> AT8,b,-2.0,2
042,000,O,AO3 -> FEO3;ST8 -> AT8,other,-1.0,2
043,000,O,AO1 -> FEO1;ST8 -> AT8,other,-1.0,2
044,000,O,AO3 -> FE23;ST8 -> AT8,other,-2.0,2
045,000,O,AO1 -> FE21;ST8 -> AT8,other,-2.0,2
046,000,O,AO3 -> MGO3;ST8 -> AT8,other,-2.0,2
047,000,O,AO1 -> MGO1;ST8 -> AT8,other,-2.0,2
048,000,T,ST1 -> FET1;ST6 -> AT6,t,-2.0,2
049,000,T,ST3 -> FET3;ST6 -> AT6,t,-2.0,2
050,000,T,ST6 -> AT6;ST8 -> FET8,b,-2.0,2
051,000,O,AO3 -> FEO3;ST6 -> AT6,other,-1.0,2
052,000,O,AO1 -> FEO1;ST6 -> AT6,other,-1.0,2
053,000,O,AO3 -> FE23;ST6 -> AT6,other,-2.0,2
054,000,O,AO1 -> FE21;ST6 -> AT6,other,-2.0,2
055,000,O,AO3 -> MGO3;ST6 -> AT6,other,-2.0,2
056,000,O,AO1 -> MGO1;ST6 -> AT6,other,-2.0,2
057,000,T,ST1 -> FET1;ST3 -> FET3,t,-2.0,2
058,000,T,ST1 -> FET1;ST8 -> FET8,b,-2.0,2
059,000,T,ST1 -> FET1;ST6 -> FET6,b,-2.0,2
060,000,O,AO3 -> FEO3;ST1 -> FET1,other,-1.0,2
061,000,O,AO1 -> FEO1;ST1 -> FET1,other,-1.0,2
062,000,O,AO3 -> FE23;ST1 -> FET1,other,-2.0,2
063,000,O,AO1 -> FE21;ST1 -> FET1,other,-2.0,2
064,000,O,AO3 -> MGO3;ST1 -> FET1,other,-2.0,2
065,000,O,AO1 -> MGO1;ST1 -> FET1,other,-2.0,2
066,000,T,ST3 -> FET3;ST8 -> FET8,b,-2.0,2
067,000,T,ST3 -> FET3;ST6 -> FET6,b,-2.0,2
068,000,O,AO3 -> FEO3;ST3 -> FET3,other,-1.0,2
069,000,O,AO1 -> FEO1;ST3 -> FET3,other,-1.0,2
070,000,O,AO3 -> FE23;ST3 -> FET3,other,-2.0,2
071,000,O,AO1 -> FE21;ST3 -> FET3,other,-2.0,2
072,000,O,AO3 -> MGO3;ST3 -> FET3,other,-2.0,2
073,000,O,AO1 -> MGO1;ST3 -> FET3,other,-2.0,2
074,000,T,ST6 -> FET6;ST8 -> FET8,b,-2.0,2
075,000,O,AO3 -> FEO3;ST8 -> FET8,other,-1.0,2
076,000,O,AO1 -> FEO1;ST8 -> FET8,other,-1.0,2
077,000,O,AO3 -> FE23;ST8 -> FET8,other,-2.0,2
078,000,O,AO1 -> FE21;ST8 -> FET8,other,-2.0,2
079,000,O,AO3 -> MGO3;ST8 -> FET8,other,-2.0,2
080,000,O,AO1 -> MGO1;ST8 -> FET8,other,-2.0,2
081,000,O,AO3 -> FEO3;ST6 -> FET6,other,-1.0,2
082,000,O,AO1 -> FEO1;ST6 -> FET6,other,-1.0,2
083,000,O,AO3 -> FE23;ST6 -> FET6,other,-2.0,2
084,000,O,AO1 -> FE21;ST6 -> FET6,other,-2.0,2
085,000,O,AO3 -> MGO3;ST6 -> FET6,other,-2.0,2
086,000,O,AO1 -> MGO1;ST6 -> FET6,other,-2.0,2
087,000,O,AO1 -> FEO1;AO3 -> FEO3,other,0.0,2
088,000,O,AO1 -> FE21;AO3 -> FEO3,other,-1.0,2
089,000,O,AO1 -> MGO1;AO3 -> FEO3,other,-1.0,2
090,000,O,AO1 -> FEO1;AO3 -> FE23,other,-1.0,2
091,000,O,AO1 -> FEO1;AO3 -> MGO3,other,-1.0,2
092,000,O,AO1 -> FE21;AO3 -> FE23,other,-2.0,2
093,000,O,AO1 -> MGO1;AO3 -> FE23,other,-2.0,2
094,000,O,AO1 -> FE21;AO3 -> MGO3,other,-2.0,2
095,000,O,AO1 -> MGO1;AO3 -> MGO3,other,-2.0,2
096,000,T,ST1 -> AT1;ST3 -> AT3;ST8 -> AT8,b,-3.0,3
097,000,T,ST1 -> AT1;ST3 -> AT3;ST6 -> AT6,b,-3.0,3
098,000,T,ST1 -> AT1;ST3 -> AT3;ST8 -> FET8,b,-3.0,3
099,000,T,ST1 -> AT1;ST3 -> AT3;ST6 -> FET6,b,-3.0,3
100,000,O,AO3 -> FEO3;ST1 -> AT1;ST3 -> AT3,other,-2.0,3
101,000,O,AO1 -> FEO1;ST1 -> AT1;ST3 -> AT3,other,-2.0,3
102,000,O,AO3 -> FE23;ST1 -> AT1;ST3 -> AT3,other,-3.0,3
103,000,O,AO1 -> FE21;ST1 -> AT1;ST3 -> AT3,other,-3.0,3
104,000,O,AO3 -> MGO3;ST1 -> AT1;ST3 -> AT3,other,-3.0,3
105,000,O,AO1 -> MGO1;ST1 -> AT1;ST3 -> AT3,other,-3.0,3
106,000,T,ST1 -> AT1;ST6 -> AT6;ST8 -> AT8,b,-3.0,3
107,000,T,ST1 -> AT1;ST3 -> FET3;ST8 -> AT8,t,-3.0,3
108,000,T,ST1 -> AT1;ST6 -> FET6;ST8 -> AT8,b,-3.0,3
109,000,O,AO3 -> FEO3;ST1 -> AT1;ST8 -> AT8,other,-2.0,3
110,000,O,AO1 -> FEO1;ST1 -> AT1;ST8 -> AT8,other,-2.0,3
111,000,O,AO3 -> FE23;ST1 -> AT1;ST8 -> AT8,other,-3.0,3
112,000,O,AO1 -> FE21;ST1 -> AT1;ST8 -> AT8,other,-3.0,3
113,000,O,AO3 -> MGO3;ST1 -> AT1;ST8 -> AT8,other,-3.0,3
114,000,O,AO1 -> MGO1;ST1 -> AT1;ST8 -> AT8,other,-3.0,3
115,000,T,ST1 -> AT1;ST3 -> FET3;ST6 -> AT6,t,-3.0,3
116,000,T,ST1 -> AT1;ST6 -> AT6;ST8 -> FET8,b,-3.0,3
117,000,O,AO3 -> FEO3;ST1 -> AT1;ST6 -> AT6,other,-2.0,3
118,000,O,AO1 -> FEO1;ST1 -> AT1;ST6 -> AT6,other,-2.0,3
119,000,O,AO3 -> FE23;ST1 -> AT1;ST6 -> AT6,other,-3.0,3
120,000,O,AO1 -> FE21;ST1 -> AT1;ST6 -> AT6,other,-3.0,3
121,000,O,AO3 -> MGO3;ST1 -> AT1;ST6 -> AT6,other,-3.0,3
122,000,O,AO1 -> MGO1;ST1 -> AT1;ST6 -> AT6,other,-3.0,3
123,000,T,ST1 -> AT1;ST3 -> FET3;ST8 -> FET8,b,-3.0,3
124,000,T,ST1 -> AT1;ST3 -> FET3;ST6 -> FET6,b,-3.0,3
125,000,O,AO3 -> FEO3;ST1 -> AT1;ST3 -> FET3,other,-2.0,3
126,000,O,AO1 -> FEO1;ST1 -> AT1;ST3 -> FET3,other,-2.0,3
127,000,O,AO3 -> FE23;ST1 -> AT1;ST3 -> FET3,other,-3.0,3
128,000,O,AO1 -> FE21;ST1 -> AT1;ST3 -> FET3,other,-3.0,3
129,000,O,AO3 -> MGO3;ST1 -> AT1;ST3 -> FET3,other,-3.0,3
130,000,O,AO1 -> MGO1;ST1 -> AT1;ST3 -> FET3,other,-3.0,3
131,000,T,ST1 -> AT1;ST6 -> FET6;ST8 -> FET8,b,-3.0,3
132,000,O,AO3 -> FEO3;ST1 -> AT1;ST8 -> FET8,other,-2.0,3
133,000,O,AO1 -> FEO1;ST1 -> AT1;ST8 -> FET8,other,-2.0,3
134,000,O,AO3 -> FE23;ST1 -> AT1;ST8 -> FET8,other,-3.0,3
135,000,O,AO1 -> FE21;ST1 -> AT1;ST8 -> FET8,other,-3.0,3
136,000,O,AO3 -> MGO3;ST1 -> AT1;ST8 -> FET8,other,-3.0,3
137,000,O,AO1 -> MGO1;ST1 -> AT1;ST8 -> FET8,other,-3.0,3
138,000,O,AO3 -> FEO3;ST1 -> AT1;ST6 -> FET6,other,-2.0,3
139,000,O,AO1 -> FEO1;ST1 -> AT1;ST6 -> FET6,other,-2.0,3
140,000,O,AO3 -> FE23;ST1 -> AT1;ST6 -> FET6,other,-3.0,3
141,000,O,AO1 -> FE21;ST1 -> AT1;ST6 -> FET6,other,-3.0,3
142,000,O,AO3 -> MGO3;ST1 -> AT1;ST6 -> FET6,other,-3.0,3
143,000,O,AO1 -> MGO1;ST1 -> AT1;ST6 -> FET6,other,-3.0,3
144,000,O,AO1 -> FEO1;AO3 -> FEO3;ST1 -> AT1,other,-1.0,3
145,000,O,AO1 -> FE21;AO3 -> FEO3;ST1 -> AT1,other,-2.0,3
146,000,O,AO1 -> MGO1;AO3 -> FEO3;ST1 -> AT1,other,-2.0,3
147,000,O,AO1 -> FEO1;AO3 -> FE23;ST1 -> AT1,other,-2.0,3
148,000,O,AO1 -> FEO1;AO3 -> MGO3;ST1 -> AT1,other,-2.0,3
149,000,O,AO1 -> FE21;AO3 -> FE23;ST1 -> AT1,other,-3.0,3
150,000,O,AO1 -> MGO1;AO3 -> FE23;ST1 -> AT1,other,-3.0,3
151,000,O,AO1 -> FE21;AO3 -> MGO3;ST1 -> AT1,other,-3.0,3
152,000,O,AO1 -> MGO1;AO3 -> MGO3;ST1 -> AT1,other,-3.0,3
153,000,T,ST3 -> AT3;ST6 -> AT6;ST8 -> AT8,b,-3.0,3
154,000,T,ST1 -> FET1;ST3 -> AT3;ST8 -> AT8,t,-3.0,3
155,000,T,ST3 -> AT3;ST6 -> FET6;ST8 -> AT8,b,-3.0,3
156,000,O,AO3 -> FEO3;ST3 -> AT3;ST8 -> AT8,other,-2.0,3
157,000,O,AO1 -> FEO1;ST3 -> AT3;ST8 -> AT8,other,-2.0,3
158,000,O,AO3 -> FE23;ST3 -> AT3;ST8 -> AT8,other,-3.0,3
159,000,O,AO1 -> FE21;ST3 -> AT3;ST8 -> AT8,other,-3.0,3
160,000,O,AO3 -> MGO3;ST3 -> AT3;ST8 -> AT8,other,-3.0,3
161,000,O,AO1 -> MGO1;ST3 -> AT3;ST8 -> AT8,other,-3.0,3
162,000,T,ST1 -> FET1;ST3 -> AT3;ST6 -> AT6,t,-3.0,3
163,000,T,ST3 -> AT3;ST6 -> AT6;ST8 -> FET8,b,-3.0,3
164,000,O,AO3 -> FEO3;ST3 -> AT3;ST6 -> AT6,other,-2.0,3
165,000,O,AO1 -> FEO1;ST3 -> AT3;ST6 -> AT6,other,-2.0,3
166,000,O,AO3 -> FE23;ST3 -> AT3;ST6 -> AT6,other,-3.0,3
167,000,O,AO1 -> FE21;ST3 -> AT3;ST6 -> AT6,other,-3.0,3
168,000,O,AO3 -> MGO3;ST3 -> AT3;ST6 -> AT6,other,-3.0,3
169,000,O,AO1 -> MGO1;ST3 -> AT3;ST6 -> AT6,other,-3.0,3
170,000,T,ST1 -> FET1;ST3 -> AT3;ST8 -> FET8,b,-3.0,3
171,000,T,ST1 -> FET1;ST3 -> AT3;ST6 -> FET6,b,-3.0,3
172,000,O,AO3 -> FEO3;ST1 -> FET1;ST3 -> AT3,other,-2.0,3
173,000,O,AO1 -> FEO1;ST1 -> FET1;ST3 -> AT3,other,-2.0,3
174,000,O,AO3 -> FE23;ST1 -> FET1;ST3 -> AT3,other,-3.0,3
175,000,O,AO1 -> FE21;ST1 -> FET1;ST3 -> AT3,other,-3.0,3
176,000,O,AO3 -> MGO3;ST1 -> FET1;ST3 -> AT3,other,-3.0,3
177,000,O,AO1 -> MGO1;ST1 -> FET1;ST3 -> AT3,other,-3.0,3
178,000,T,ST3 -> AT3;ST6 -> FET6;ST8 -> FET8,b,-3.0,3
179,000,O,AO3 -> FEO3;ST3 -> AT3;ST8 -> FET8,other,-2.0,3
180,000,O,AO1 -> FEO1;ST3 -> AT3;ST8 -> FET8,other,-2.0,3
181,000,O,AO3 -> FE23;ST3 -> AT3;ST8 -> FET8,other,-3.0,3
182,000,O,AO1 -> FE21;ST3 -> AT3;ST8 -> FET8,other,-3.0,3
183,000,O,AO3 -> MGO3;ST3 -> AT3;ST8 -> FET8,other,-3.0,3
184,000,O,AO1 -> MGO1;ST3 -> AT3;ST8 -> FET8,other,-3.0,3
185,000,O,AO3 -> FEO3;ST3 -> AT3;ST6 -> FET6,other,-2.0,3
186,000,O,AO1 -> FEO1;ST3 -> AT3;ST6 -> FET6,other,-2.0,3
187,000,O,AO3 -> FE23;ST3 -> AT3;ST6 -> FET6,other,-3.0,3
188,000,O,AO1 -> FE21;ST3 -> AT3;ST6 -> FET6,other,-3.0,3
189,000,O,AO3 -> MGO3;ST3 -> AT3;ST6 -> FET6,other,-3.0,3
190,000,O,AO1 -> MGO1;ST3 -> AT3;ST6 -> FET6,other,-3.0,3
191,000,O,AO1 -> FEO1;AO3 -> FEO3;ST3 -> AT3,other,-1.0,3
192,000,O,AO1 -> FE21;AO3 -> FEO3;ST3 -> AT3,other,-2.0,3
193,000,O,AO1 -> MGO1;AO3 -> FEO3;ST3 -> AT3,other,-2.0,3
194,000,O,AO1 -> FEO1;AO3 -> FE23;ST3 -> AT3,other,-2.0,3
195,000,O,AO1 -> FEO1;AO3 -> MGO3;ST3 -> AT3,other,-2.0,3
196,000,O,AO1 -> FE21;AO3 -> FE23;ST3 -> AT3,other,-3.0,3
197,000,O,AO1 -> MGO1;AO3 -> FE23;ST3 -> AT3,other,-3.0,3
198,000,O,AO1 -> FE21;AO3 -> MGO3;ST3 -> AT3,other,-3.0,3
199,000,O,AO1 -> MGO1;AO3 -> MGO3;ST3 -> AT3,other,-3.0,3
200,000,T,ST1 -> FET1;ST6 -> AT6;ST8 -> AT8,t,-3.0,3
201,000,T,ST3 -> FET3;ST6 -> AT6;ST8 -> AT8,t,-3.0,3
202,000,O,AO3 -> FEO3;ST6 -> AT6;ST8 -> AT8,other,-2.0,3
203,000,O,AO1 -> FEO1;ST6 -> AT6;ST8 -> AT8,other,-2.0,3
204,000,O,AO3 -> FE23;ST6 -> AT6;ST8 -> AT8,other,-3.0,3
205,000,O,AO1 -> FE21;ST6 -> AT6;ST8 -> AT8,other,-3.0,3
206,000,O,AO3 -> MGO3;ST6 -> AT6;ST8 -> AT8,other,-3.0,3
207,000,O,AO1 -> MGO1;ST6 -> AT6;ST8 -> AT8,other,-3.0,3
208,000,T,ST1 -> FET1;ST3 -> FET3;ST8 -> AT8,t,-3.0,3
209,000,T,ST1 -> FET1;ST6 -> FET6;ST8 -> AT8,b,-3.0,3
210,000,O,AO3 -> FEO3;ST1 -> FET1;ST8 -> AT8,other,-2.0,3
211,000,O,AO1 -> FEO1;ST1 -> FET1;ST8 -> AT8,other,-2.0,3
212,000,O,AO3 -> FE23;ST1 -> FET1;ST8 -> AT8,other,-3.0,3
213,000,O,AO1 -> FE21;ST1 -> FET1;ST8 -> AT8,other,-3.0,3
214,000,O,AO3 -> MGO3;ST1 -> FET1;ST8 -> AT8,other,-3.0,3
215,000,O,AO1 -> MGO1;ST1 -> FET1;ST8 -> AT8,other,-3.0,3
216,000,T,ST3 -> FET3;ST6 -> FET6;ST8 -> AT8,b,-3.0,3
217,000,O,AO3 -> FEO3;ST3 -> FET3;ST8 -> AT8,other,-2.0,3
218,000,O,AO1 -> FEO1;ST3 -> FET3;ST8 -> AT8,other,-2.0,3
219,000,O,AO3 -> FE23;ST3 -> FET3;ST8 -> AT8,other,-3.0,3
220,000,O,AO1 -> FE21;ST3 -> FET3;ST8 -> AT8,other,-3.0,3
221,000,O,AO3 -> MGO3;ST3 -> FET3;ST8 -> AT8,other,-3.0,3
